
0,cm,cm,move yellow cylinder in front of yellow sphere,0,5,
1,cm,cm,move purple sphere left of red cylinder,2,5,
2,cm,cm,move blue sphere right of blue cylinder,1,5,
3,cm,move blue sphere left of green box,0,5,
4,cm,move red box in front of purple cylinder,2,5,
5,cm,cm,move green cone behind green cylinder,2,5,
6,cm,move purple cone behind blue cylinder,3,5,
7,move blue cylinder left of purple cone,2,5,
8,move green cylinder in front of blue sphere,2,5,
9,move purple box left of yellow box,2,5,
10,cm,move yellow box behind green box,3,5,
11,cm,move green sphere right of red cone,2,5,
12,cm,cm,move red cone left of blue box,5,5,
13,move green cone behind blue cone,4,3,
14,move red cone right of purple box,4,4,
15,move purple cone in front of red cylinder,3,4,
16,move blue sphere right of green cylinder,4,3,
17,cm,move blue sphere behind blue box,4,5,
18,move red box in front of green sphere,5,5,
19,move red box right of yellow cylinder,5,5,
