
0,cm,cm,move green sphere behind blue sphere,0,5,
1,cm,cm,move red cone in front of purple cylinder,0,5,
2,cm,cm,move red sphere left of red cylinder,0,5,
3,cm,cm,move blue box right of green sphere,0,5,
4,cm,move blue box left of yellow sphere,0,5,
5,cm,move green box right of red box,1,5,
6,move purple box right of red sphere,2,5,
7,move purple sphere left of yellow sphere,2,5,
8,move red cylinder right of purple box,1,5,
9,move purple cylinder left of blue box,1,5,
10,move purple box in front of red cylinder,1,5,
11,move yellow sphere right of red sphere,1,5,
12,cm,move red box behind purple cone,3,5,
13,move blue box left of red cylinder,4,5,
14,move blue sphere behind purple sphere,4,5,
15,move blue sphere behind green cone,4,5,
16,cm,move blue box in front of blue cone,5,5,
17,move green sphere right of red sphere,5,5,
18,move blue cylinder behind green cylinder,5,3,
19,move yellow box right of red box,4,5,
20,move blue cylinder left of red box,5,5,
21,move green box right of purple sphere,5,5,
22,move yellow cylinder behind purple cone,5,5,
23,move blue box left of yellow sphere,4,5,
24,move blue cylinder in front of purple box,5,5,
25,move purple cylinder in front of red cone,5,5,
26,move yellow sphere in front of purple cylinder,4,5,
27,move red cylinder in front of purple cylinder,4,5,
28,move green cylinder behind blue cylinder,5,4,
29,move red cone in front of green cone,2,4,
30,move blue cone left of green cylinder,4,5,
31,move blue box behind purple cylinder,4,5,
