
0,cm,cm,cm,cm,green sphere,1,5,
1,cm,cm,cm,cm,purple cone,2,5,
2,cm,cm,cm,cm,blue cylinder,1,5,
3,cm,cm,cm,blue box,1,5,
4,cm,cm,green box,2,5,
5,cm,cm,cm,yellow sphere,2,5,
6,yellow sphere,2,4,
7,cm,cm,yellow cylinder,3,5,
8,cm,purple cylinder,5,5,
9,blue sphere,4,5,
10,green cylinder,5,5,
11,cm,cm,red sphere,4,5,
12,cm,cm,red cone,5,3,
13,red box,5,5,
14,green cone,5,5,
15,purple cylinder,5,3,
16,red cylinder,5,5,
17,purple sphere,5,5,
18,yellow box,5,5,
19,green cone,5,5,
20,blue cone,5,5,
21,yellow cone,5,5,
22,purple box,5,5,
23,blue box,5,5,
